Staff Composite,Player,Position,Team,Andy Behrens,Brad Evans,Scott Pianowski,Dalton Del Don,Liz Loza
1,Todd Gurley,RB1,LAR,1,1,1,1,2
2,Le'Veon Bell,RB2,PIT,2,3,6,2,1
3,Ezekiel Elliott,RB3,DAL,4,2,2,5,4
4,David Johnson,RB4,ARI,3,5,4,3,3
5,Antonio Brown,WR1,PIT,5,7,3,6,5
6,Alvin Kamara,RB5,NO,8,4,5,4,8
7,DeAndre Hopkins,WR2,HOU,7,8,7,9,7
8,Kareem Hunt,RB6,KC,6,6,8,8,11
9,Saquon Barkley,RB7,NYG,11,9,11,7,6
10,Odell Beckham Jr.,WR3,NYG,9,10,10,11,10
11,Julio Jones,WR4,ATL,10,11,9,10,13
12,Melvin Gordon,RB8,LAC,12,12,12,13,9
13,Michael Thomas,WR5,NO,13,15,13,15,16
14,Dalvin Cook,RB9,MIN,20,14,14,12,12
15,Leonard Fournette,RB10,JAC,14,16,16,14,14
16,Keenan Allen,WR6,LAC,16,13,22,16,18
17,Davante Adams,WR7,GB,18,18,15,20,20
18,Devonta Freeman,RB11,ATL,23,20,17,18,17
19,A.J. Green,WR8,CIN,19,19,29,21,21
20,Jerick McKinnon,RB12,SF,30,30,20,22,23
21,Jordan Howard,RB13,CHI,17,17,23,19,15
22,Mike Evans,WR9,TB,21,22,19,26,22
23,Rob Gronkowski,TE1,NE,25,21,21,28,56
24,Travis Kelce,TE2,KC,31,25,25,29,31
25,Joe Mixon,RB14,CIN,28,23,34,51,19
26,Christian McCaffrey,RB15,CAR,33,34,27,25,32
27,Adam Thielen,WR10,MIN,29,37,18,35,30
28,Kenyan Drake,RB16,MIA,52,46,30,30,48
29,Tyreek Hill,WR11,KC,32,32,36,31,26
30,Derrick Henry,RB17,TEN,44,80,24,27,25
31,Doug Baldwin,WR12,SEA,53,43,35,37,44
32,Zach Ertz,TE3,PHI,26,54,31,32,27
33,Stefon Diggs,WR13,MIN,22,38,32,33,36
34,Derrius Guice,RB18,WAS,24,27,50,23,24
35,Alshon Jeffery,WR14,PHI,37,51,48,43,42
36,Aaron Rodgers,QB1,GB,35,40,43,38,34
37,Larry Fitzgerald,WR15,ARI,38,36,42,41,45
38,Alex Collins,RB19,BAL,15,94,28,70,33
39,Josh Gordon,WR16,CLE,36,26,77,77,40
40,Amari Cooper,WR17,OAK,50,41,40,36,51
41,Jay Ajayi,RB20,PHI,27,33,33,17,43
42,T.Y. Hilton,WR18,IND,41,45,26,24,28
43,LeSean McCoy,RB21,BUF,39,28,80,52,35
44,JuJu Smith-Schuster,WR19,PIT,45,52,60,42,53
45,Russell Wilson,QB2,SEA,42,50,44,49,47
46,Demaryius Thomas,WR20,DEN,58,29,65,50,41
47,Golden Tate,WR21,DET,43,44,38,60,54
48,Tom Brady,QB3,NE,48,53,45,40,62
49,Allen Robinson,WR22,CHI,65,60,76,39,52
50,Cam Newton,QB4,CAR,40,42,47,67,63
51,Rashaad Penny,RB22,SEA,112,48,37,64,39
52,Mark Ingram,RB23,NO,46,87,92,48,37
53,Ronald Jones II,RB24,TB,34,91,58,46,38
54,Deshaun Watson,QB5,HOU,55,35,62,34,70
55,Royce Freeman,RB25,DEN,90,24,74,55,83
56,Brandin Cooks,WR23,LAR,57,62,55,68,46
57,Dion Lewis,RB26,TEN,98,78,46,63,76
58,Marvin Jones,WR24,DET,69,58,68,45,67
59,Evan Engram,TE4,NYG,68,31,61,65,61
60,Sony Michel,RB27,NE,117,95,129,72,95
61,Jarvis Landry,WR25,CLE,73,56,71,83,58
62,Robert Woods,WR26,LAR,70,,78,113,60
63,Lamar Miller,RB28,HOU,60,83,41,61,29
64,Drew Brees,QB6,NO,47,61,54,66,69
65,Michael Crabtree,WR27,BAL,71,55,90,109,66
66,Rex Burkhead,RB29,NE,107,39,51,44,49
67,Carson Wentz,QB7,PHI,61,64,56,54,91
68,Tevin Coleman,RB30,ATL,134,119,96,69,50
